Características selecionadas;"População em idade de trabalhar
(1 000 pessoas)";"População na força de trabalho
(1 000 pessoas)";"População ocupada
(1 000 pessoas)";"População ocupada em trabalhos formais (1)
(1 000 pessoas)";"População desocupada
(1 000 pessoas)";"População na força de trabalho potencial
(1 000 pessoas)";"População subutilizada
(1 000 pessoas)";Taxa de participação (%);Nível de ocupação (%);Taxa de formalização (%);Taxa de desocupação (%);Taxa composta de subutilização (%)
Total Grupos de idade;  173 286 ;  107 257 ;  96 982 ;  57 326 ;  10 275 ;  7 607 ;  24 001 ;61,9;56;59,1;9,6;20,9
14 a 29 anos;  51 926 ;  31 799 ;  26 361 ;  14 218 ;  5 438 ;  3 547 ;  10 965 ;61,2;50,8;53,9;17,1;31
14 a 17 anos;  12 127 ;  2 154 ;  1 408 ;245;746;  1 095 ;  2 019 ;17,8;11,6;17,4;34,6;62,1
18 a 24 anos;  22 760 ;  15 880 ;  12 661 ;  6 599 ;  3 219 ;  1 652 ;  5 907 ;69,8;55,6;52,1;20,3;33,7
25 a 29 anos;  17 039 ;  13 765 ;  12 292 ;  7 375 ;  1 473 ;800;  3 038 ;80,8;72,1;60;10,7;20,9
30 a 49 anos;  64 492 ;  52 281 ;  48 634 ;  30 921 ;  3 647 ;  2 546 ;  9 124 ;81,1;75,4;63,6;7;16,6
50 a 59 anos;  24 477 ;  16 045 ;  15 145 ;  9 121 ;901;886;  2 667 ;65,6;61,9;60,2;5,6;15,8
60 anos ou mais;  32 392 ;  7 132 ;  6 843 ;  3 066 ;289;627;  1 245 ;22;21,1;44,8;4,1;16,1
Total Homens;  83 760 ;  60 244 ;  55 514 ;  32 834 ;  4 730 ;  2 993 ;  10 615 ;71,9;66,3;59,1;7,9;16,8
14 a 29 anos;  26 271 ;  17 844 ;  15 305 ;  8 134 ;  2 538 ;  1 569 ;  5 119 ;67,9;58,3;53,1;14,2;26,4
14 a 17 anos;  6 192 ;  1 278 ;891;138;387;584;  1 082 ;20,6;14,4;15,5;30,3;58,1
