Características selecionadas;"População em idade de trabalhar
(1 000 pessoas)";"População na força de trabalho
(1 000 pessoas)";"População ocupada
(1 000 pessoas)";"População ocupada em trabalhos formais (1)
(1 000 pessoas)";"População desocupada
(1 000 pessoas)";"População na força de trabalho potencial
(1 000 pessoas)";"População subutilizada
(1 000 pessoas)";Taxa de participação (%);Nível de ocupação (%);Taxa de formalização (%);Taxa de desocupação (%);Taxa composta de subutilização (%)
Total Grupos de idade;  168 365 ;  107 669 ;  94 956 ;  55 639 ;  12 713 ;  8 280 ;  28 234 ;63,9;56,4;58,6;11,8;24,4
14 a 29 anos;  53 330 ;  33 423 ;  26 338 ;  14 254 ;  7 085 ;  4 101 ;  13 771 ;62,7;49,4;54,1;21,2;36,7
14 a 17 anos;  12 425 ;  2 555 ;  1 494 ;260;  1 061 ;  1 287 ;  2 627 ;20,6;12;17,4;41,5;68,4
18 a 24 anos;  23 952 ;  16 961 ;  12 866 ;  6 684 ;  4 095 ;  1 968 ;  7 399 ;70,8;53,7;52;24,1;39,1
25 a 29 anos;  16 952 ;  13 907 ;  11 978 ;  7 310 ;  1 929 ;846;  3 744 ;82;70,7;61;13,9;25,4
30 a 49 anos;  62 626 ;  51 589 ;  47 269 ;  29 789 ;  4 321 ;  2 621 ;  10 313 ;82,4;75,5;63;8,4;19
50 a 59 anos;  23 405 ;  15 681 ;  14 671 ;  8 753 ;  1 010 ;877;  2 796 ;67;62,7;59,7;6,4;16,9
60 anos ou mais;  29 005 ;  6 976 ;  6 678 ;  2 843 ;297;681;  1 354 ;24,1;23;42,6;4,3;17,7
Total Homens;  81 412 ;  60 183 ;  54 347 ;  31 978 ;  5 836 ;  3 297 ;  12 549 ;73,9;66,8;58,8;9,7;19,8
14 a 29 anos;  26 909 ;  18 687 ;  15 351 ;  8 247 ;  3 336 ;  1 786 ;  6 428 ;69,4;57;53,7;17,9;31,4
14 a 17 anos;  6 345 ;  1 485 ;942;147;543;657;  1 360 ;23,4;14,8;15,6;36,6;63,5
18 a 24 anos;  12 105 ;  9 501 ;  7 594 ;  3 942 ;  1 907 ;830;  3 441 ;78,5;62,7;51,9;20,1;33,3
25 a 29 anos;  8 459 ;  7 701 ;  6 816 ;  4 158 ;885;299;  1 626 ;91;80,6;61;11,5;20,3
30 a 49 anos;  30 588 ;  28 068 ;  26 303 ;  16 720 ;  1 765 ;826;  4 066 ;91,8;86;63,6;6,3;14,1
50 a 59 anos;  11 118 ;  8 897 ;  8 372 ;  5 086 ;525;356;  1 307 ;80;75,3;60,7;5,9;14,1
60 anos ou mais;  12 798 ;  4 531 ;  4 321 ;  1 925 ;210;330;749;35,4;33,8;44,6;4,6;15,4
Total Mulheres;  86 953 ;  47 486 ;  40 610 ;  23 661 ;  6 877 ;  4 983 ;  15 685 ;54,6;46,7;58,3;14,5;29,9
