Grandes Regiões, Unidades da Federação e Municípios;"População em idade de trabalhar
(1 000 pessoas)";"População na força de trabalho
(1 000 pessoas)";"População ocupada
(1 000 pessoas)";"População ocupada em trabalhos formais (1)
(1 000 pessoas)";"População desocupada
(1 000 pessoas)";"População na força de trabalho potencial
(1 000 pessoas)";"População subutilizada
(1 000 pessoas)";Taxa de participação (%);Nível de ocupação (%);Taxa de formalização (%);Taxa de desocupação (%);Taxa composta de subutilização (%)
Brasil;  173 286 ;  107 257 ;  96 982 ;  57 326 ;  10 275 ;  7 607 ;  24 001 ;   61,9 ;   56,0 ;   59,1 ;   9,6 ;   20,9 
Norte;  14 466 ;  8 832 ;  7 959 ;  3 179 ;   874 ;   808 ;  2 220 ;   61,1 ;   55,0 ;   39,9 ;   9,9 ;   23,0 
Rondônia;  1 467 ;   888 ;   850 ;   461 ;   38 ;   31 ;   94 ;   60,5 ;   58,0 ;   54,3 ;   4,2 ;   10,2 
Porto Velho;   450 ;   280 ;   258 ;   133 ;   22 ;   11 ;   40 ;   62,3 ;   57,3 ;   51,7 ;   8,0 ;   13,9 
Acre;   686 ;   371 ;   325 ;   153 ;   46 ;   49 ;   109 ;   54,1 ;   47,5 ;   47,1 ;   12,4 ;   25,9 
Rio Branco;   331 ;   192 ;   160 ;   95 ;   32 ;   15 ;   52 ;   58,0 ;   48,3 ;   59,5 ;   16,8 ;   25,4 
Amazonas;  3 111 ;  1 941 ;  1 687 ;   637 ;   254 ;   189 ;   535 ;   62,4 ;   54,2 ;   37,8 ;   13,1 ;   25,1 
Manaus;  1 750 ;  1 162 ;   984 ;   504 ;   178 ;   80 ;   302 ;   66,4 ;   56,2 ;   51,3 ;   15,3 ;   24,3 
Roraima;   446 ;   262 ;   249 ;   123 ;   13 ;   16 ;   34 ;   58,7 ;   55,8 ;   49,3 ;   4,9 ;   12,3 
Boa Vista;   323 ;   201 ;   191 ;   103 ;   10 ;   9 ;   23 ;   62,3 ;   59,3 ;   53,9 ;   4,9 ;   10,9 
Pará;  6 810 ;  4 176 ;  3 769 ;  1 299 ;   407 ;   428 ;  1 182 ;   61,3 ;   55,4 ;   34,5 ;   9,7 ;   25,7 
Belém;  1 274 ;   795 ;   689 ;   353 ;   106 ;   68 ;   243 ;   62,4 ;   54,1 ;   51,2 ;   13,3 ;   28,2 
Amapá;   679 ;   417 ;   360 ;   170 ;   57 ;   28 ;   106 ;   61,4 ;   53,0 ;   47,3 ;   13,7 ;   23,8 
Macapá;   417 ;   260 ;   230 ;   121 ;   30 ;   20 ;   60 ;   62,3 ;   55,1 ;   52,5 ;   11,5 ;   21,6 
Tocantins;  1 267 ;   778 ;   718 ;   335 ;   59 ;   67 ;   160 ;   61,4 ;   56,7 ;   46,7 ;   7,6 ;   19,0 
Palmas;   255 ;   183 ;   173 ;   105 ;   10 ;   5 ;   22 ;   71,8 ;   67,8 ;   61,0 ;   5,6 ;   11,7 
Nordeste;  46 130 ;  25 117 ;  21 848 ;  9 418 ;  3 269 ;  3 750 ;  9 518 ;   54,4 ;   47,4 ;   43,1 ;   13,0 ;   33,0 
Maranhão;  5 490 ;  2 778 ;  2 462 ;   850 ;   317 ;   620 ;  1 156 ;   50,6 ;   44,8 ;   34,5 ;   11,4 ;   34,0 
São Luís;   914 ;   563 ;   485 ;   253 ;   78 ;   29 ;   130 ;   61,6 ;   53,1 ;   52,1 ;   13,8 ;   21,9 
Piauí;  2 634 ;  1 412 ;  1 270 ;   491 ;   142 ;   332 ;   745 ;   53,6 ;   48,2 ;   38,6 ;   10,0 ;   42,7 
Teresina;   717 ;   459 ;   415 ;   231 ;   44 ;   49 ;   148 ;   64,1 ;   57,9 ;   55,8 ;   9,6 ;   29,1 
