Grandes Regiões, Unidades da Federação e Municípios;"População em idade de trabalhar
(1 000 pessoas)";"População na força de trabalho
(1 000 pessoas)";"População ocupada
(1 000 pessoas)";"População ocupada em trabalhos formais (1)
(1 000 pessoas)";"População desocupada
(1 000 pessoas)";"População na força de trabalho potencial
(1 000 pessoas)";"População subutilizada
(1 000 pessoas)";Taxa de participação (%);Nível de ocupação (%);Taxa de formalização (%);Taxa de desocupação (%);Taxa composta de subutilização (%)
Brasil;  168 365 ;  107 669 ;  94 956 ;  55 639 ;  12 713 ;  8 280 ;  28 234 ;   63,9 ;   56,4 ;   58,6 ;   11,8 ;   24,4 
Norte;  13 732 ;  8 476 ;  7 475 ;  2 869 ;  1 001 ;   842 ;  2 533 ;   61,7 ;   54,4 ;   38,4 ;   11,8 ;   27,2 
Rondônia;  1 381 ;   888 ;   815 ;   441 ;   72 ;   39 ;   164 ;   64,3 ;   59,1 ;   54,1 ;   8,1 ;   17,7 
Porto Velho;   415 ;   245 ;   219 ;   126 ;   27 ;   19 ;   55 ;   59,2 ;   52,7 ;   57,5 ;   10,9 ;   20,6 
Acre;   643 ;   356 ;   304 ;   131 ;   52 ;   60 ;   132 ;   55,4 ;   47,3 ;   43,2 ;   14,7 ;   31,8 
Rio Branco;   314 ;   191 ;   160 ;   84 ;   31 ;   22 ;   61 ;   60,8 ;   50,9 ;   52,5 ;   16,3 ;   28,6 
Amazonas;  2 952 ;  1 909 ;  1 640 ;   645 ;   270 ;   179 ;   568 ;   64,7 ;   55,6 ;   39,3 ;   14,1 ;   27,2 
Manaus;  1 702 ;  1 150 ;   939 ;   494 ;   211 ;   71 ;   339 ;   67,6 ;   55,1 ;   52,7 ;   18,4 ;   27,7 
Roraima;   389 ;   257 ;   219 ;   97 ;   38 ;   30 ;   89 ;   66,1 ;   56,3 ;   44,3 ;   14,9 ;   30,9 
Boa Vista;   278 ;   193 ;   164 ;   81 ;   29 ;   19 ;   63 ;   69,2 ;   58,9 ;   49,5 ;   14,9 ;   29,8 
Pará;  6 533 ;  3 934 ;  3 518 ;  1 135 ;   416 ;   425 ;  1 219 ;   60,2 ;   53,8 ;   32,3 ;   10,6 ;   28,0 
Belém;  1 226 ;   773 ;   673 ;   298 ;   100 ;   61 ;   228 ;   63,1 ;   54,9 ;   44,2 ;   12,9 ;   27,4 
Amapá;   614 ;   390 ;   326 ;   128 ;   64 ;   43 ;   151 ;   63,5 ;   53,1 ;   39,1 ;   16,3 ;   35,0 
Macapá;   372 ;   246 ;   206 ;   88 ;   40 ;   24 ;   97 ;   66,3 ;   55,4 ;   42,6 ;   16,4 ;   35,8 
Tocantins;  1 221 ;   741 ;   652 ;   292 ;   89 ;   67 ;   210 ;   60,7 ;   53,4 ;   44,8 ;   12,0 ;   26,0 
Palmas;   236 ;   170 ;   152 ;   91 ;   19 ;   4 ;   34 ;   72,3 ;   64,5 ;   59,8 ;   10,9 ;   19,7 
Nordeste;  44 951 ;  25 169 ;  21 591 ;  9 321 ;  3 578 ;  4 116 ;  10 606 ;   56,0 ;   48,0 ;   43,2 ;   14,2 ;   36,2 
Maranhão;  5 324 ;  2 644 ;  2 271 ;   785 ;   373 ;   722 ;  1 374 ;   49,7 ;   42,7 ;   34,5 ;   14,1 ;   40,8 
São Luís;   876 ;   554 ;   458 ;   231 ;   97 ;   24 ;   161 ;   63,2 ;   52,2 ;   50,4 ;   17,4 ;   27,9 
Piauí;  2 583 ;  1 473 ;  1 293 ;   451 ;   180 ;   298 ;   785 ;   57,0 ;   50,1 ;   34,9 ;   12,2 ;   44,3 
Teresina;   714 ;   461 ;   403 ;   221 ;   57 ;   41 ;   150 ;   64,6 ;   56,5 ;   54,7 ;   12,5 ;   30,0 
Ceará;  7 264 ;  4 159 ;  3 697 ;  1 604 ;   461 ;   575 ;  1 441 ;   57,3 ;   50,9 ;   43,4 ;   11,1 ;   30,4 
Fortaleza;  2 182 ;  1 437 ;  1 280 ;   751 ;   158 ;   85 ;   319 ;   65,9 ;   58,6 ;   58,7 ;   11,0 ;   21,0 
Rio Grande do Norte;  2 766 ;  1 530 ;  1 329 ;   676 ;   200 ;   266 ;   655 ;   55,3 ;   48,1 ;   50,9 ;   13,1 ;   36,5 
Natal;   719 ;   439 ;   386 ;   236 ;   53 ;   45 ;   133 ;   61,1 ;   53,8 ;   61,2 ;   12,0 ;   27,5 
Paraíba;  3 148 ;  1 708 ;  1 493 ;   631 ;   215 ;   271 ;   695 ;   54,3 ;   47,4 ;   42,3 ;   12,6 ;   35,1 
João Pessoa;   657 ;   408 ;   357 ;   207 ;   51 ;   34 ;   117 ;   62,2 ;   54,4 ;   57,9 ;   12,5 ;   26,5 
Pernambuco;  7 649 ;  4 215 ;  3 576 ;  1 663 ;   640 ;   494 ;  1 470 ;   55,1 ;   46,8 ;   46,5 ;   15,2 ;   31,2 
