Grandes Regiões, Unidades da Federação e Municípios;"População em idade de trabalhar
(1 000 pessoas)";"População na força de trabalho
(1 000 pessoas)";"População ocupada
(1 000 pessoas)";"População ocupada em trabalhos formais (1)
(1 000 pessoas)";"População desocupada
(1 000 pessoas)";"População na força de trabalho potencial
(1 000 pessoas)";"População subutilizada
(1 000 pessoas)";Taxa de participação (%);Nível de ocupação (%);Taxa de formalização (%);Taxa de desocupação (%);Taxa composta de subutilização (%)
Brasil;  170 091 ;  100 496 ;  86 673 ;  53 074 ;  13 823 ;  11 782 ;  31 723 ;   59,1 ;   51,0 ;   61,2 ;   13,8 ;   28,3 
Norte;  14 093 ;  8 062 ;  7 084 ;  2 900 ;   978 ;  1 084 ;  2 656 ;   57,2 ;   50,3 ;   40,9 ;   12,1 ;   29,0 
Rondônia;  1 409 ;   892 ;   803 ;   478 ;   90 ;   57 ;   184 ;   63,3 ;   57,0 ;   59,5 ;   10,0 ;   19,4 
Porto Velho;   425 ;   265 ;   220 ;   140 ;   45 ;   29 ;   81 ;   62,3 ;   51,8 ;   63,5 ;   17,0 ;   27,5 
Acre;   663 ;   333 ;   280 ;   127 ;   52 ;   82 ;   149 ;   50,2 ;   42,3 ;   45,2 ;   15,7 ;   35,8 
Rio Branco;   321 ;   179 ;   151 ;   79 ;   28 ;   26 ;   59 ;   55,8 ;   47,1 ;   52,2 ;   15,6 ;   28,9 
Amazonas;  3 016 ;  1 790 ;  1 524 ;   600 ;   266 ;   244 ;   639 ;   59,3 ;   50,5 ;   39,3 ;   14,8 ;   31,4 
Manaus;  1 704 ;  1 081 ;   872 ;   467 ;   209 ;   97 ;   360 ;   63,4 ;   51,2 ;   53,6 ;   19,3 ;   30,6 
Roraima;   411 ;   245 ;   204 ;   101 ;   41 ;   36 ;   93 ;   59,6 ;   49,7 ;   49,4 ;   16,6 ;   33,1 
Boa Vista;   295 ;   183 ;   152 ;   84 ;   32 ;   22 ;   64 ;   62,2 ;   51,4 ;   55,3 ;   17,3 ;   31,2 
Pará;  6 707 ;  3 755 ;  3 362 ;  1 184 ;   393 ;   495 ;  1 212 ;   56,0 ;   50,1 ;   35,2 ;   10,5 ;   28,5 
Belém;  1 227 ;   707 ;   618 ;   295 ;   89 ;   61 ;   205 ;   57,6 ;   50,3 ;   47,8 ;   12,6 ;   26,7 
Amapá;   638 ;   358 ;   298 ;   126 ;   60 ;   53 ;   131 ;   56,1 ;   46,7 ;   42,4 ;   16,8 ;   31,8 
Macapá;   383 ;   221 ;   185 ;   85 ;   36 ;   28 ;   73 ;   57,8 ;   48,5 ;   45,6 ;   16,2 ;   29,2 
Tocantins;  1 248 ;   689 ;   612 ;   285 ;   77 ;   117 ;   250 ;   55,2 ;   49,1 ;   46,5 ;   11,2 ;   31,0 
Palmas;   241 ;   150 ;   135 ;   87 ;   15 ;   10 ;   31 ;   62,1 ;   55,8 ;   64,8 ;   10,2 ;   19,7 
Nordeste;  45 304 ;  22 982 ;  19 013 ;  8 917 ;  3 968 ;  5 629 ;  11 966 ;   50,7 ;   42,0 ;   46,9 ;   17,3 ;   41,8 
Maranhão;  5 375 ;  2 498 ;  2 112 ;   745 ;   386 ;   833 ;  1 477 ;   46,5 ;   39,3 ;   35,3 ;   15,5 ;   44,3 
São Luís;   872 ;   515 ;   446 ;   201 ;   69 ;   48 ;   177 ;   59,1 ;   51,2 ;   45,1 ;   13,4 ;   31,4 
Piauí;  2 599 ;  1 330 ;  1 136 ;   425 ;   194 ;   356 ;   801 ;   51,2 ;   43,7 ;   37,4 ;   14,6 ;   47,5 
Teresina;   715 ;   420 ;   341 ;   205 ;   79 ;   65 ;   173 ;   58,7 ;   47,7 ;   60,1 ;   18,8 ;   35,6 
Ceará;  7 375 ;  3 767 ;  3 264 ;  1 498 ;   503 ;   819 ;  1 649 ;   51,1 ;   44,3 ;   45,9 ;   13,3 ;   36,0 
Fortaleza;  2 201 ;  1 363 ;  1 172 ;   696 ;   191 ;   156 ;   434 ;   61,9 ;   53,3 ;   59,4 ;   14,0 ;   28,5 
Rio Grande do Norte;  2 804 ;  1 445 ;  1 209 ;   665 ;   236 ;   332 ;   709 ;   51,5 ;   43,1 ;   55,0 ;   16,3 ;   39,9 
Natal;   730 ;   431 ;   369 ;   244 ;   62 ;   56 ;   152 ;   59,1 ;   50,5 ;   66,2 ;   14,5 ;   31,2 
Paraíba;  3 143 ;  1 542 ;  1 268 ;   594 ;   275 ;   414 ;   841 ;   49,1 ;   40,3 ;   46,9 ;   17,8 ;   43,0 
João Pessoa;   650 ;   348 ;   287 ;   180 ;   61 ;   69 ;   163 ;   53,5 ;   44,1 ;   62,8 ;   17,6 ;   39,0 
Pernambuco;  7 639 ;  3 804 ;  3 154 ;  1 623 ;   649 ;   765 ;  1 661 ;   49,8 ;   41,3 ;   51,4 ;   17,1 ;   36,4 
Recife;  1 364 ;   793 ;   668 ;   429 ;   125 ;   144 ;   321 ;   58,2 ;   49,0 ;   64,2 ;   15,8 ;   34,3 
Alagoas;  2 591 ;  1 149 ;   927 ;   461 ;   223 ;   397 ;   718 ;   44,4 ;   35,8 ;   49,7 ;   19,4 ;   46,4 
Maceió;   811 ;   441 ;   354 ;   219 ;   86 ;   69 ;   189 ;   54,3 ;   43,7 ;   61,8 ;   19,6 ;   37,1 
Sergipe;  1 832 ;  1 029 ;   828 ;   407 ;   202 ;   184 ;   524 ;   56,2 ;   45,2 ;   49,2 ;   19,6 ;   43,2 
Aracaju;   542 ;   314 ;   258 ;   176 ;   56 ;   39 ;   126 ;   57,9 ;   47,5 ;   68,4 ;   17,9 ;   35,7 
Bahia;  11 947 ;  6 416 ;  5 115 ;  2 499 ;  1 300 ;  1 528 ;  3 585 ;   53,7 ;   42,8 ;   48,8 ;   20,3 ;   45,1 
Salvador;  2 432 ;  1 593 ;  1 236 ;   816 ;   357 ;   183 ;   672 ;   65,5 ;   50,8 ;   66,1 ;   22,4 ;   37,8 
Sudeste;  73 005 ;  45 573 ;  39 050 ;  26 230 ;  6 523 ;  3 618 ;  12 338 ;   62,4 ;   53,5 ;   67,2 ;   14,3 ;   25,1 
